#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
10,layout(push_constant) uniform TextWorldPush {,,,,,,,,,0,,,
11,mat4  mvp;,,,,,,,,,0,,,
12,vec4  panel;,,,,,,,,,0,,,
13,"uvec2 range;  // first instance index, instance count",,,,,,,,,0,,,
14,} pc;,,,,,,,,,0,,,
15,,,,,,,,,,0,,,
16,layout(location = 0) in vec2 panelPos;,,,,,,,,,0,,,
17,layout(location = 0) out vec4 outColor;,,,,,,,,,0,,,
18,,,,,,,,,,0,,,
19,void main(),,,,,,,,,0,,,
20,{,,,,,,,,,0,,,
21,vec2 fw = abs(dFdx(panelPos)) + abs(dFdy(panelPos));,343,343,Short Scoreboard,158,Not Selected,75,Selected,32,42,16,196,8
22,vec2 rMin = panelPos - 0.5 * fw;,33,33,Not Selected,16,Wait,12,Selected,4,5,2,,7
23,vec2 rMax = panelPos + 0.5 * fw;,7,7,Selected,7,,,,,0,2,,7
24,vec4 acc = vec4(0.0);,,,,,,,,,0,,,
25,for (uint i = 0u; i < pc.range.y; i++),19838,19838,Not Selected,6384,Math Pipe Throttle,4203,Wait,3944,3070.8741681790684,19,,22
26,{,,,,,,,,,0,,,
27,"vec4 src = shade_window(pc.range.x + i, rMin, rMax);",20633,20633,Not Selected,11089,Math Pipe Throttle,7613,Wait,1303,3109.00620365434,2,,19
28,acc = src + acc * (1.0 - src.a);,1240,1240,Selected,1229,Dispatch Stall,11,,,208.03548387096774,5,,18
29,},,,,,,,,,0,,,
30,outColor = acc;,,,,,,,,,0,,,
31,},180,180,Wait,84,Branch Resolving,36,Not Selected,29,24.244444444444444,19,,4
32,,,,,,,,,,0,,,
#,Source,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
